label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
0,27.0,1356,4,736,768,113358,1.6875,0.46059782608695654,4.57763671875e-05,1.5575654122338078e-05
1,0.0,12,3,737,251,113875,0.0,0.005427408412483039,0.0,4.198354769724614e-07
2,0.0,33,1,739,22,114104,0.0,0.044654939106901215,0.0,1.3145901984154806e-05
3,3.0,144,2,738,644,113482,0.75,0.0975609756097561,7.233517225415686e-06,1.97037842540711e-06
4,0.0,39,1,739,41,114085,0.0,0.05277401894451962,0.0,8.337814017575685e-06
5,0.0,0,1,739,13,114113,0.0,0.0,0.0,0.0
6,18.0,768,5,735,648,113478,0.72,0.2089795918367347,4.286694101508916e-05,1.044418464535139e-05
7,0.0,26,1,739,8,114118,0.0,0.035182679296346414,0.0,2.8479293363010218e-05
8,30.0,850,3,737,891,113235,3.3333333333333335,0.38444142921754865,3.7789038911373364e-05,8.424818186228822e-06
9,4.0,378,3,737,761,113365,0.4444444444444444,0.17096336499321574,6.907019431172414e-06,4.381553820694647e-06
10,0.0,0,1,739,4,114122,0.0,0.0,0.0,0.0
11,0.0,82,1,739,26,114100,0.0,0.11096075778078485,0.0,2.764107058585586e-05
12,0.0,0,1,739,28,114098,0.0,0.0,0.0,0.0
13,26.0,387,4,736,1485,112641,1.625,0.13145380434782608,1.179018014034849e-05,2.313598606245156e-06
14,9.0,415,4,736,538,113588,0.5625,0.1409646739130435,3.109409764928622e-05,6.7909943364089065e-06
15,0.0,129,1,739,42,114084,0.0,0.17456021650879566,0.0,2.69225182447019e-05
16,9.0,634,3,737,60,114066,1.0,0.28674807779285394,0.0025,9.263642686397933e-05
17,0.0,17,1,739,42,114084,0.0,0.023004059539918808,0.0,3.5479287609297077e-06
18,0.0,0,1,739,15,114111,0.0,0.0,0.0,0.0
19,0.0,0,1,739,8,114118,0.0,0.0,0.0,0.0
20,0.0,43,1,739,68,114058,0.0,0.058186738836265225,0.0,5.544134924130447e-06
21,0.0,516,1,739,147,113979,0.0,0.6982408660351827,0.0,3.079693699394321e-05
22,0.0,11,1,739,10,114116,0.0,0.014884979702300407,0.0,9.639314381857058e-06
23,2.0,104,2,738,99,114027,0.5,0.07046070460704607,0.00020406081012141618,9.212774610443584e-06
24,1.0,64,2,738,62,114064,0.25,0.04336043360433604,0.00026014568158168577,9.049814705043914e-06
25,0.0,136,1,739,40,114086,0.0,0.18403247631935046,0.0,2.9802079133285415e-05
26,2.0,335,3,737,436,113690,0.2222222222222222,0.15151515151515152,1.0520999915832001e-05,6.758277982700423e-06
27,2.0,48,2,738,44,114082,0.5,0.032520325203252036,0.0010330578512396695,9.562499701171884e-06
28,0.0,46,1,739,124,114002,0.0,0.06224627875507442,0.0,3.254045910909316e-06
29,27.0,1460,4,736,2686,111440,1.6875,0.49592391304347827,3.7424132966003917e-06,4.877595081032222e-06
30,5.0,796,4,736,776,113350,0.3125,0.2703804347826087,8.303220320969285e-06,9.049609138740968e-06
31,0.0,10,2,738,54,114072,0.0,0.006775067750677507,0.0,1.6234061398518934e-06
